15 3166  -0.03224 1e-05 0  0.03776 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03192000000000001 1e-05 0  0.03808 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03160000000000001 1e-05 0  0.0384 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03128000000000001 1e-05 0  0.03872 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03096000000000001 1e-05 0  0.03904 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03064000000000001 1e-05 0  0.03936 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03032000000000001 1e-05 0  0.03968 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03000000000000001 1e-05 0  0.04 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.02968 1e-05 0  0.04032 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.02936 1e-05 0  0.04064 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.02904 1e-05 0  0.04096 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.02872 1e-05 0  0.04128 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3040  -0.0284 1e-05 0  0.04160000000000001 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02808 1e-05 0  0.04192000000000001 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02776000000000001 1e-05 0  0.04224 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02744000000000001 1e-05 0  0.04256 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02712000000000001 1e-05 0  0.04288 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.0268 1e-05 0  0.0432 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02648 1e-05 0  0.04352 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02616 1e-05 0  0.04384 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02584 1e-05 0  0.04416 0 0   -0.006718094961334131 0.07056569569615423 0  
15 3040  -0.02552 1e-05 0  0.04448000000000001 0 0   -0.006718094961334131 0.07056569569615423 0  
